Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
154,Luguentz Dort,6.2,,,,,,,,,,,,,10.79,3.13,3.22,32.5,38,14,0.05,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5'',10.79,3.13,3.22,32.5,38,14
155,Nicolo Melli,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Sekou Doumbouya,5.6,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.012,-6.5,-1.8,2019,,,,,,,,,,,,,,,,,,,,
157,Kelan Martin,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Anzejs Pasecniks,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Nickeil Alexander-Walker,4.9,0.388,0.33,0.715,20.1,9.8,2.7,2.3,0.4,0.006,-2.8,-0.6,2019,-,-,-,-,-,-,0.06,8.5,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5'',-,-,-,-,-,-
160,Darius Bazley,7.2,0.397,0.304,0.698,25.5,9.6,5.9,1.3,1.5,0.017,-2.7,-0.8,2019,11.09,2.95,3.27,30.5,37,4,0.04,9,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0'',11.09,2.95,3.27,30.5,37,4
161,Daniel Gafford,7.4,0.689,,0.655,16.6,7.2,4.3,0.7,9.8,0.191,1.2,2,2019,11.61,3.19,3.25,32.5,36.5,5,0.06,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25'',11.61,3.19,3.25,32.5,36.5,5
162,Cody Martin,7.4,0.448,0.33,0.646,20.8,5.7,3.5,2.1,4.9,0.073,-1.4,0.5,2019,10.64,3.05,3.09,29,36.5,4,0.05,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25'',10.64,3.05,3.09,29,36.5,4
170,Matt Thomas,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Chris Clemons,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Matisse Thybulle,6.3,0.446,0.32,0.607,21.6,4.7,1.9,1.1,7.7,0.097,1.1,3,2019,,,,,,,,,,,,,,,,,,,,
173,Bruno Fernando,6.5,0.498,0.146,0.617,9.1,2.9,2.7,0.6,0.8,0.04,-4.7,-0.7,2019,12.19,3.03,3.23,29,35,11,0.05,9.25,10,6' 8.75'',6' 10.25'',9' 2'',237,7' 3.25'',12.19,3.03,3.23,29,35,11
181,Marko Guduric,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Nassir Little,4.4,0.455,0.317,0.727,16.7,5.8,3.4,0.7,3.7,0.076,-2.2,-0.1,2019,12.15,3.1,3.24,31,38.5,5,0.06,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25'',12.15,3.1,3.24,31,38.5,5
183,Grant Williams,5.2,0.454,0.381,0.756,18.8,5.2,2.9,1,7,0.093,-1.8,0.2,2019,10.83,3.27,3.33,26,31.5,20,0.05,9,10.5,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75'',10.83,3.27,3.33,26,31.5,20
184,Javonte Green,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Ty Jerome,3.6,0.398,0.344,0.784,17.1,7.1,1.9,2.4,2,0.051,-1.9,0.1,2019,11.21,3.12,3.4,26,31.5,2,0.07,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4'',11.21,3.12,3.4,26,31.5,2
186,Carsen Edwards,2.7,0.372,0.302,0.75,9.2,3.6,1.1,0.6,0.4,0.03,-4.5,-0.4,2019,11.59,3.15,3.2,28.5,34.5,12,0.06,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6'',11.59,3.15,3.2,28.5,34.5,12
194,Goga Bitadze,4.3,0.449,0.222,0.684,10.8,4.3,2.7,0.7,2.7,0.088,-2.2,-0.1,2019,,,,,,,,,,,,,,,,,,,,
195,Chris Silva,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Admiral Schofield,3.2,0.414,0.32,0.682,10.8,3,1.6,0.5,0.3,0.025,-5.3,-0.5,2019,10.77,2.87,3.37,30,34,15,0.07,8.75,9,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75'',10.77,2.87,3.37,30,34,15
197,Justin James,2.4,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2,2019,,,,,,,,,,,,,,,,,,,,
198,Romeo Langford,2.5,0.396,0.305,0.662,14.7,3.6,1.9,0.5,1.5,0.052,-3,-0.4,2019,-,-,-,-,-,-,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11'',-,-,-,-,-,-
199,Terance Mann,3.8,0.493,0.384,0.775,20.2,7.3,3.7,1.8,8.9,0.123,-0.6,1.3,2019,11.51,3.14,3.3,32.5,38.5,6,0.04,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75'',11.51,3.14,3.3,32.5,38.5,6
200,Wenyen Gabriel,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Luka Doncic,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Trae Young,18.3,0.438,0.353,0.868,33.4,25,3.9,9,23.3,0.128,2.8,10.5,2018,-,-,-,-,-,-,0.05,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3'',-,-,-,-,-,-
203,Collin Sexton,12,0.458,0.378,0.827,32.9,20,3,3.3,5.5,0.037,-2.5,-0.9,2018,-,-,-,-,-,-,0.06,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25'',-,-,-,-,-,-
204,Deandre Ayton,22.6,0.598,0.229,0.749,30.7,16.1,10.5,1.6,22.6,0.161,1.1,5.3,2018,,,,,,,,,,,,,,,,,,,,
205,Marvin Bagley III,16.4,0.495,0.296,0.666,24.7,13.4,7.4,0.9,6.5,0.083,-2.3,-0.3,2018,,,,,,,,,,,,,,,,,,,,
206,Jaren Jackson Jr.,14.4,0.457,0.352,0.778,27.2,15.8,5.2,1.2,11.7,0.109,0,2.5,2018,,,,,,,,,,,,,,,,,,,,
207,Kevin Knox II,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Allonzo Trier,9.5,,,,,,,,,,,,,11.02,2.97,3.14,32,40,11,0.05,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75'',11.02,2.97,3.14,32,40,11
209,Shai Gilgeous-Alexander,11.9,0.47,0.347,0.805,31.7,17.8,4.4,4.1,16.6,0.108,1.7,6.9,2018,-,-,-,-,-,-,0.03,9,9,6' 4.5'',6' 6'',8' 8'',180,6' 11.5'',-,-,-,-,-,-
210,Wendell Carter Jr.,14.7,0.51,0.292,0.736,27.4,11.9,8.8,1.9,12.8,0.115,-0.9,1.5,2018,,,,,,,,,,,,,,,,,,,,
211,Kevin Huerter,10.3,0.43,0.375,0.785,29.6,11.3,3.5,3.2,8.5,0.054,-1.4,1.2,2018,10.89,2.97,3.09,31,38,9,0.09,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5'',10.89,2.97,3.09,31,38,9
212,Jalen Brunson,9.5,0.494,0.376,0.786,24.2,11.5,2.9,3.8,15.8,0.12,0,3.3,2018,10.59,3.11,3.15,29,37,7,0.07,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4'',10.59,3.11,3.15,29,37,7
213,Landry Shamet,8.1,0.407,0.388,0.84,23.2,8.9,1.8,1.6,9.7,0.083,-1.9,0.1,2018,11.26,3.21,3.11,31,39.5,8,0.05,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75'',11.26,3.21,3.11,31,39.5,8
214,Rodions Kurucs,8.8,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4,2018,,,,,,,,,,,,,,,,,,,,
215,Mikal Bridges,10.7,0.507,0.372,0.832,31,10.9,3.9,2,22.6,0.121,1,6.8,2018,,,,,,,,,,,,,,,,,,,,
216,Frank Jackson,6.6,0.425,0.338,0.774,18.1,8.5,1.8,1,2.3,0.03,-3.9,-1.8,2017,10.94,2.7,3.14,34.5,42,9,0.07,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5'',10.94,2.7,3.14,34.5,42,9
217,Josh Okogie,7.9,0.4,0.273,0.756,21.5,6.6,3.1,1.2,4.9,0.048,-3,-1.2,2018,11.08,3.03,3.04,33,42,12,0.05,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0'',11.08,3.03,3.04,33,42,12
218,Miles Bridges,9.7,0.468,0.34,0.809,28.8,12.9,5.6,2.1,14.1,0.086,-0.4,3.1,2018,-,-,-,-,-,-,0.06,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5'',-,-,-,-,-,-
219,Mitchell Robinson,14.8,0.72,,0.551,23.6,8.4,7.4,0.5,22.5,0.214,2.1,5.2,2018,,,,,,,,,,,,,,,,,,,,
220,Harry Giles III,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Mo Bamba,9.5,0.472,0.332,0.684,18,7.3,5.9,0.9,8.9,0.114,-0.1,1.8,2018,,,,,,,,,,,,,,,,,,,,
222,Kenrich Williams,9.4,,,,,,,,,,,,,10.86,3.28,3.19,28,33,14,0.06,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25'',10.86,3.28,3.19,28,33,14
223,Omari Spellman,8.1,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2,2018,12.28,3.35,3.38,28.5,35.5,8,0.14,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2'',12.28,3.35,3.38,28.5,35.5,8
224,Aaron Holiday,5.5,0.415,0.372,0.827,18.4,7.4,1.7,2.3,4.2,0.048,-2.4,-0.5,2018,10.96,3.22,3.27,25.5,33,-,0.06,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5'',10.96,3.22,3.27,25.5,33,-
225,Elie Okobo,5.9,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9,2018,,,,,,,,,,,,,,,,,,,,
226,Grayson Allen,2.9,0.426,0.386,0.835,21.5,9.3,2.5,1.5,7.2,0.09,-0.9,1.1,2018,10.31,3.04,3.15,32.5,40.5,-,0.06,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25'',10.31,3.04,3.15,32.5,40.5,-
227,Chandler Hutchison,7.4,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9,2018,,,,,,,,,,,,,,,,,,,,
228,Keita Bates-Diop,5.9,0.456,0.315,0.698,15,5.1,3,0.6,3.3,0.068,-2.2,-0.1,2018,11.2,3.28,3.17,30.5,35,11,0.05,9,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25'',11.2,3.28,3.17,30.5,35,11
229,De'Anthony Melton,7.9,0.403,0.347,0.762,20.5,7.9,3.5,2.8,6.5,0.07,0.3,2.5,2018,,,,,,,,,,,,,,,,,,,,
230,Moritz Wagner,4.4,0.486,0.32,0.812,14.4,7,3.1,1,4.8,0.09,-1.9,0.1,2018,12,2.98,3.35,25.5,32.5,-,0.07,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0'',12,2.98,3.35,25.5,32.5,-
238,Troy Brown Jr.,6.1,0.428,0.333,0.754,19.1,6.6,3.9,1.7,4.7,0.057,-2.1,-0.1,2018,,,,,,,,,,,,,,,,,,,,
239,Devonte' Graham,5.3,0.371,0.358,0.826,28.4,13.1,2.6,5.1,9.3,0.071,-0.4,2.5,2018,,,,,,,,,,,,,,,,,,,,
240,Jonah Bolden,7.6,0.486,0.34,0.484,13.5,4.3,3.4,0.8,1.4,0.098,-1.3,0.1,2017,,,,,,,,,,,,,,,,,,,,
241,Jevon Carter,4.5,0.373,0.37,0.8,13.8,4.3,1.7,1.3,3.3,0.057,-1.4,0.4,2018,11.04,3.05,3.18,29,36.5,14,0.04,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25'',11.04,3.05,3.18,29,36.5,14
242,Bruce Brown,5.7,0.474,0.314,0.741,22.8,7.2,4.2,2,10.6,0.088,-1.4,0.9,2018,11.11,3.44,3.2,32.5,38,17,0.04,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9'',11.11,3.44,3.2,32.5,38,17
243,Ryan Broekhoff,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Brad Wanamaker,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Hamidou Diallo,3.9,0.474,0.278,0.635,19,8.5,3.9,1.1,4.8,0.059,-2.4,-0.4,2018,10.88,2.79,3.11,34.5,44.5,0,0.04,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5'',10.88,2.79,3.11,34.5,44.5,0
253,Jerome Robinson,3.2,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.7,-1.1,2018,-,-,-,-,-,-,0.06,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25'',-,-,-,-,-,-
254,Jaylen Adams,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Svi Mykhailiuk,2.3,0.4,0.354,0.782,17.5,6.8,1.9,1.4,2.6,0.034,-2.6,-0.6,2018,12.4,3.25,3.53,27,33,8,0.11,8,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5'',12.4,3.25,3.53,27,33,8
256,Gary Clark,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Deonte Burton,2.2,,,,,,,,,,,,,11.28,3.08,3.28,29,39.5,-,0.08,8.25,8,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7'',11.28,3.08,3.28,29,39.5,-
258,Robert Williams III,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Chimezie Metu,1.7,0.454,0.286,0.755,13.2,5.6,3.4,0.8,1.6,0.046,-2.5,-0.2,2018,11.89,3.25,3.33,29.5,36,5,0.05,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5'',11.89,3.25,3.33,29.5,36,5
260,Jacob Evans,1.6,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8,2018,11.11,3.14,3.2,28,35.5,8,0.07,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25'',11.11,3.14,3.2,28,35.5,8
261,Donovan Mitchell,16.6,0.442,0.362,0.833,33.7,23.8,4.1,4.4,27.7,0.121,2.4,12.4,2017,11.53,3.07,3.01,36.5,40.5,10,0.06,8.5,9.5,6' 1.25'',6' 3'',8' 1'',211.4,6' 10'',11.53,3.07,3.01,36.5,40.5,10
262,Kyle Kuzma,15.3,0.449,0.34,0.725,30.4,15.6,6.2,2.1,14.8,0.07,-0.9,2.7,2017,10.72,2.98,3.25,27,34,12,0.09,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25'',10.72,2.98,3.25,27,34,12
263,Ben Simmons,23.8,0.56,0.147,0.597,33.9,15.9,8.1,7.7,30.4,0.156,3.7,13.5,2016,,,,,,,,,,,,,,,,,,,,
264,Lauri Markkanen,16.2,0.437,0.363,0.847,29.6,15.3,6.8,1.3,14.8,0.091,-0.1,3.6,2017,,,,,,,,,,,,,,,,,,,,
265,Dennis Smith Jr.,12.8,0.402,0.312,0.652,23.9,10.7,2.9,4.2,-0.4,-0.003,-2.3,-0.4,2017,,,,,,,,,,,,,,,,,,,,
266,Jayson Tatum,14.8,0.453,0.379,0.843,33.3,20.5,6.6,2.9,32.1,0.132,2.4,13.1,2017,,,,,,,,,,,,,,,,,,,,
267,Josh Jackson,10.5,0.416,0.293,0.679,23.4,11.4,4,1.9,-1.7,-0.012,-3.8,-3,2017,,,,,,,,,,,,,,,,,,,,
268,Bogdan Bogdanovic,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,De'Aaron Fox,10.4,0.46,0.315,0.724,31.9,18.8,3.5,6.2,15.5,0.074,0,5.1,2017,,,,,,,,,,,,,,,,,,,,
270,Dillon Brooks,9.5,0.42,0.351,0.8,28.3,14.4,3,2,4.8,0.031,-3.8,-3.4,2017,11.14,3.24,3.21,31,37.5,16,0.08,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6'',11.14,3.24,3.21,31,37.5,16
271,John Collins,15.6,0.562,0.382,0.78,29,16.6,8.4,1.6,28.3,0.162,1.5,7.5,2017,11.66,3.27,3.27,33,37.5,15,0.05,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25'',11.66,3.27,3.27,33,37.5,15
272,Lonzo Ball,16.5,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.6,0.068,1.1,6.3,2017,,,,,,,,,,,,,,,,,,,,
273,Tyrone Wallace,10.2,0.425,0.203,0.671,15.5,5.2,2.2,1.2,0.2,0.006,-5.1,-1.3,2016,,,,,,,,,,,,,,,,,,,,
274,Milos Teodosic,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Jarrett Allen,12,0.625,0.189,0.699,26.6,11.6,8.7,1.4,35.2,0.187,1.7,8.5,2017,11.82,3,3.21,31.5,35.5,4,0.07,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25'',11.82,3,3.21,31.5,35.5,4
276,Frank Mason III,7.9,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.6,-0.3,2017,11.41,3.09,3.18,34,41,15,0.04,8,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25'',11.41,3.09,3.18,34,41,15
277,Josh Hart,10,0.447,0.345,0.736,27.1,9.6,5.8,2,15.2,0.093,-0.5,3.1,2017,11.15,3.15,3.2,29.5,38.5,-,0.06,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25'',11.15,3.15,3.2,29.5,38.5,-
285,Luke Kennard,7.9,0.448,0.423,0.862,23.3,9.8,2.9,2,13.3,0.098,-0.3,2.8,2017,-,-,-,-,-,-,0.07,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25'',-,-,-,-,-,-
286,Tyler Dorsey,6.1,0.389,0.35,0.669,16.1,6.7,2.3,1.3,1,0.03,-3.1,-0.5,2017,10.55,2.98,3.16,30.5,36,8,0.05,8.5,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25'',10.55,2.98,3.16,30.5,36,8
287,Bam Adebayo,10.9,0.555,0.143,0.739,28,13.2,8.2,3.5,33.1,0.174,2.9,11.3,2017,,,,,,,,,,,,,,,,,,,,
288,Malik Monk,4.4,0.417,0.352,0.827,19.7,9.8,2.2,1.9,4.7,0.04,-2.1,-0.2,2017,,,,,,,,,,,,,,,,,,,,
289,Justin Jackson,6.9,0.426,0.321,0.799,18.7,6.5,2.5,1.1,5.3,0.053,-2.8,-1,2017,11.32,2.96,3.26,29.5,34.5,-,0.09,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3'',11.32,2.96,3.26,29.5,34.5,-
305,Kobi Simmons,5.8,,,,,,,,,,,,,11.15,2.98,3.18,30.5,38.5,3,0.05,8.5,9.5,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6'',11.15,2.98,3.18,30.5,38.5,3
306,Frank Ntilikina,6.5,0.368,0.33,0.774,18.2,5.3,1.9,2.4,0.3,0.003,-4.2,-2.6,2017,,,,,,,,,,,,,,,,,,,,
307,OG Anunoby,6.6,0.469,0.369,0.706,26.7,10.4,4.1,1.4,16.8,0.102,0,4,2017,-,-,-,-,-,-,0.07,9.25,9.5,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25'',-,-,-,-,-,-
308,Ivan Rabb,8.6,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1,2017,12.68,3.23,3.35,28.5,32.5,3,0.07,8.75,9,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5'',12.68,3.23,3.35,28.5,32.5,3
309,C.J. Williams,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Jonathan Isaac,7.5,0.435,0.33,0.797,25.8,9.3,5.4,1.1,6.7,0.091,0.2,2,2017,,,,,,,,,,,,,,,,,,,,
311,Maxi Kleber,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Daniel Theis,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Royce O'Neale,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Jawun Evans,5,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7,2017,11.34,3.26,3.21,27.5,33.5,1,0.09,8,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5'',11.34,3.26,3.21,27.5,33.5,1
315,Tyler Cavanaugh,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Jordan Bell,9.3,0.552,0.2,0.636,12,3.7,3.1,1.2,4.9,0.121,0.2,1.1,2017,10.63,2.83,3.21,31.5,38,16,0.05,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75'',10.63,2.83,3.21,31.5,38,16
317,Zach Collins,5.5,0.445,0.322,0.72,17.4,5.7,4,1,3.9,0.067,-2.7,-0.5,2017,-,-,-,-,-,-,0.09,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1'',-,-,-,-,-,-
318,Khem Birch,7.9,,,,,,,,,,,,,11.6,3.24,3.26,30.5,35.5,-,0.06,9,8.5,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1'',11.6,3.24,3.26,30.5,35.5,-
319,Torrey Craig,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Damyean Dotson,4.5,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9,2017,11.18,3.03,3.13,31.5,38,13,0.05,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9'',11.18,3.03,3.13,31.5,38,13
321,Sterling Brown,5.1,0.424,0.37,0.791,17.1,5.6,3.4,1,6.6,0.073,-2,0,2017,,,,,,,,,,,,,,,,,,,,
322,Cedi Osman,4.5,0.421,0.351,0.718,24.7,10,3.3,2.2,6.9,0.043,-2.5,-0.9,2015,,,,,,,,,,,,,,,,,,,,
323,Sindarius Thornwell,4.8,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5,2017,11.48,3.03,3.36,27,30.5,15,0.08,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10'',11.48,3.03,3.36,27,30.5,15
324,Ante Zizic,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Wes Iwundu,4.8,0.408,0.292,0.798,16.9,4.4,2.5,0.9,4.2,0.053,-3.9,-1.8,2017,,,,,,,,,,,,,,,,,,,,
326,Alex Caruso,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Dwayne Bacon,3.9,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5.1,-3.1,2017,11.7,3.22,3.22,30,36.5,8,0.08,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10'',11.7,3.22,3.22,30,36.5,8
328,Kyle Collinsworth,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Terrance Ferguson,2.9,0.404,0.334,0.753,19.6,4.5,1.3,0.7,4.4,0.053,-4,-2.1,2017,11.16,3.22,3.32,28.5,38,-,0.06,8.5,10,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75'',11.16,3.22,3.32,28.5,38,-
330,Abdel Nader,2.5,0.428,0.357,0.718,12.8,4.6,1.9,0.5,2.8,0.052,-2.6,-0.4,2016,,,,,,,,,,,,,,,,,,,,
331,T.J. Leaf,3.2,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1,2017,,,,,,,,,,,,,,,,,,,,
332,Semi Ojeleye,3.2,0.383,0.344,0.706,14.5,3.4,2.2,0.4,5,0.059,-3.5,-1.5,2017,10.58,3.07,3.16,35,40.5,19,0.06,8.75,9.5,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75'',10.58,3.07,3.16,35,40.5,19
333,Guerschon Yabusele,3.1,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0,2016,,,,,,,,,,,,,,,,,,,,
334,Brandon Paul,2.5,,,,,,,,,,,,,11.16,2.9,3.37,33.5,39.5,15,0.05,8.5,9.5,6' 2.75'',6' 4'',8' 2'',201,6' 10.25'',11.16,2.9,3.37,33.5,39.5,15
335,Caleb Swanigan,2.9,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7,2017,12.8,-,-,26,29,-,-%,9.5,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3'',12.8,-,-,26,29,-
343,Dakari Johnson,2.6,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1,2015,11.76,2.94,3.62,22.5,25,4,0.15,9.25,10.5,6' 11'',6' 11.75'',9' 4'',264.6,7' 2'',11.76,2.94,3.62,22.5,25,4
344,Joel Embiid,20.6,0.488,0.335,0.81,30.9,25.6,11.3,3.3,40.6,0.204,5.8,18.7,2013,,,,,,,,,,,,,,,,,,,,
346,Dario Saric,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Buddy Hield,9.1,0.43,0.4,0.864,29,15.9,4.3,2.4,16.8,0.062,0.2,7.3,2016,-,-,-,-,-,-,0.06,8.5,9,6' 3.75'',6' 5'',8' 5'',212.4,6' 9.25'',-,-,-,-,-,-
348,Malcolm Brogdon,12.2,0.464,0.379,0.882,30.1,15.4,4.2,4.8,24.4,0.118,1.2,7.9,2016,10.77,2.64,3.31,30.5,35.5,-,0.05,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5'',10.77,2.64,3.31,30.5,35.5,-
349,Yogi Ferrell,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Jamal Murray,8.6,0.446,0.367,0.878,30.1,16.3,3.6,3.8,20.8,0.096,0.3,6,2016,,,,,,,,,,,,,,,,,,,,
351,Brandon Ingram,8.9,0.46,0.361,0.764,32.8,18.4,5.1,3.8,18,0.073,-0.4,4.9,2016,,,,,,,,,,,,,,,,,,,,
352,Marquese Chriss,9.4,0.456,0.29,0.666,18.7,7.7,4.8,1,6.2,0.056,-2.3,-0.4,2016,11.93,3.05,3.26,32.5,38.5,-,0.09,9,9,6' 8.75'',6' 10'',8' 9'',233,7' 0.25'',11.93,3.05,3.26,32.5,38.5,-
